nom-entr;nom-resp;prenom-resp;email-resp;nom-etd;prenom-etd;titre;annee-univ;debut;fin;surnom
PARE;Decaisne;Luce;luce@pare.com;Bastide;Charles;Concevoir, realiser, documenter et integrer un module applicatif ‡ un intranet d'entreprise commun ‡ 4 agences.;2011-2012;02/04/2012;15/06/2012;MBa
PARM;Decembre;Annie;annie@parm.com;Polycarpe Batbie;Anselme;- Adaptation d'un modèle de donnees- Modification de composants EJB- Adaptation de l'interface ( Visual C#, + SOAP );2011-2012;02/04/2012;15/06/2012;MBi
PASS;Delarue-Mardrus;Lucie;lucie@pass.com;Baudouin;Charles;Portage EBJ2 en EJB3 d'application de gestion;2011-2012;02/04/2012;15/06/2012;RB
PCAD;Del‚tre;Louis;louis@pcad.com;Beaubourg;Maurice;Mise en oeuvre d'un outil en relation avec une entreprise tierce,comprehension des besoins, modèle de donnees, JAVA + interface IHM ö definir;2011-2012;02/04/2012;15/06/2012;BC
PCAP;Delavigne;Casimir;casimir@pcap.com;Cabet;etienne;Portage EJB3 de l'application gestion des emplois du temps;2011-2012;02/04/2012;15/06/2012;AC
PCEM;Delbos;Victor;victor@pcem.com;Cahuet;Alberic;Travail en equipe sur le developpement de sites internet et d'applications Web. Approfondissement des connaissances en programmation Web;2011-2012;02/04/2012;15/06/2012;LC
PCRD;Delebecque;Edmee;edmee@pcrd.com;Calippe;Charles;DÈveloppement d'une application web multi-couche;2011-2012;02/04/2012;15/06/2012;SD
PCTL;Delebecque;Frederic;frederic@pctl.com;Callot;Jacques;Realisation d'une plateforme de gestion d'emailing;2011-2012;02/04/2012;15/06/2012;ID
PDSA;Delecluze;etienne-Jean;etienne-jean@pdsa.com;Calmettes;Fernand;DÈveloppement de site internet;2011-2012;02/04/2012;15/06/2012;PF
PECO;Delessert;Benjamin;benjamin@peco.com;Campanella;Tommaso;Ce stage est un stage de fin d'etude et va me permettre d'obtenir mon DUT informatique.;2011-2012;02/04/2012;15/06/2012;SFo
PEPA;Delfour;Louis-Clodomir;louis-clodomir@pepa.com;Canivet;Charles;mise ‡ jour et developpement de site de vente en ligne;2011-2012;02/04/2012;15/06/2012;OGa
PERE;Delille;Jacques;jacques@pere.com;Cappeau;Placide;Mise en place d'un systËme informatique, particuliËrement base de donnÈes et site internet;2011-2012;02/04/2012;15/06/2012;RG
PERP;Delle Donne;Robert;robert@perp.com;CarÍme;Maurice;Apprehender des problematiques de 3D embarque.API/game engine/openGL sur Android mobile et PC;2011-2012;02/04/2012;15/06/2012;OGu
PGFP;Delluc;Louis;louis@pgfp.com;Carloix;Vincent;Redeveloppement d'une application de gestion d'outils coupants intitulee TCS (Tool Control System).;2011-2012;02/04/2012;15/06/2012;MH
PHPT;Delorme;Emmanuel;emmanuel@phpt.com;Carrau;Ludovic;S'integrer ö l'equipe de developpeurs, s'adapter aux methodologies de l'entreprise, analyser une problematique et proposer des solutions adaptees.;2011-2012;02/04/2012;15/06/2012;JPJ
PMCT;Deltuf;Paul;paul@pmct.com;de Castro;Eugenio;S'integrer dans une equipe de developpeur, s'adapter aux methodologies de travail, analyser une problematique et proposer des solutions.Travail sur les differents projets de sites internet en cours, integration et developpement de fonctionnalites, apprentissage d'un CMS proprietaire.;2011-2012;02/04/2012;15/06/2012;CJ
ACOSS;Depont;Leonce;leonce@acoss.com;Angers;Philippe;IntÈgrer le service dÈveloppement pour participer ‡ la refonte totale du logiciel de gestion utilisÈ en interne.;2012-2013;08/04/2013;14/06/2013;NJ
ACTIF;Darboux;Gaston;gaston@actif.com;Arago;Emmanuel;Formation et aide au demarrage d'une application gestion point de vente dans des magasins Franchise.;2012-2013;08/04/2013;14/06/2013;OL
ADAPT;Darboy;Georges;georges@adapt.com;Babeuf;Gracchus;A definir;2012-2013;08/04/2013;14/06/2013;SMa
ADELF;Rahlenbeck;Charles;charles@adelf.com;Cahu;Theodore;Mise en place d'un portail web dedie aux organismes de formation.;2012-2013;08/04/2013;14/06/2013;BM
ADELI;Nelson Darby;John;john@adeli.com;Babois;Victoire;- Refonte d'une IHM existante en PHP MYSQL.- gestion de l'emploi du temps du projet.- Decouverte de nouvelles methodes et outils de travail.;2012-2013;08/04/2013;14/06/2013;SMi
ADEME;Rabearivelo;Jean-Joseph;jean-joseph@ademe.com;Le Coigneux de Bachaumont;FranÁois;Faire evoluer l'IHM existante afin de la rendre plus intuitive dans l'expression et la qualification des risques, des causes et des effets.;2012-2013;08/04/2013;14/06/2013;AP
ADEMN;Darien;Georges;;de Barghon Fort-Rion;FranÁois;Creation d'un outil de parametrage pour le projet NexteCare V2;2012-2013;08/04/2013;14/06/2013;PR
AEMMM;de Ramsay;Andre-Michel;andre-michel@aemmm.com;Chabrier;Emmanuel;Developpement d'outils de diagnostic pour les techniciens.Formation des techniciens ‡ la securite des reseaux informatiques.;2012-2013;08/04/2013;14/06/2013;KR
AIVOC;Rambosson;Jean;jean@aivoc.com;Capefigue;Baptiste;Mise en place d'un outil de tests de non regression sur un progiciel de credits (gestion des prets);2012-2013;08/04/2013;14/06/2013;FR
ALRIV;Delvau;Alfred;alfred@alriv.com;Caussy;Fernand;Developpement d'application web en utilisant php, javascript, filezila;2012-2013;08/04/2013;14/06/2013;ES
AMDEC;Demay;Germain;germain@amdec.com;Cestre;Charles;L'objectif est d'implementer la technologie RFID dans les applications de saisie de Geoloc Systems.;2012-2013;08/04/2013;14/06/2013;CU
AMELI;Denis;Odette;odette@ameli.com;Alary;FranÁois;rÈalisation d'un monitoring d'un systËme automatique de traitements sur des images ou des index.;2012-2013;08/04/2013;14/06/2013;EW
AMVBF;Radiguet;Raymond;raymond@amvbf.com;Bastiat;Frederic;Developpement d'un composant utilisable dans le cadre de programme de GED et de numerisation;2012-2013;08/04/2013;14/06/2013;MBa
ANCIC;Raepsaet;Henry;henry@ancic.com;Bataille;Frederic;Etude et developpement d'editions pour un progiciel de gestion financière.;2012-2013;08/04/2013;14/06/2013;MBi
ANEMF;Rambert;Eugene;eugene@anemf.com;Cantemir;Dimitrie;Surveillance fonctionnelle de la BAM;2012-2013;08/04/2013;14/06/2013;RB
ANVAR;Denisot;Nicolas;nicolas@anvar.com;Allart de Therase;Hortense;"Developpement d'un logiciel d' ""evaluation des risques professionnels""";2012-2013;08/04/2013;14/06/2013;BC
APAJH;Dennis;George;george@apajh.com;Ancelot;Virginie;CrÈation d'une application WEB de management d'identitÈ Ldap/Kerberos;2012-2013;08/04/2013;14/06/2013;AC
APASE;Rambosson;Yvanhoe;yvanhoe@apase.com;Carlier;Theodore;Apprentissage du metier de developpeur web conception, integration, developpement, tests et mise en production de modules web;2012-2013;08/04/2013;14/06/2013;LC
APAVE;Depping;Georges-Bernard;georges-bernard@apave.com;Apponyi;Rodolphe;Programmation web;2012-2013;08/04/2013;14/06/2013;SD
AP-HM;Dareste;Rodolphe;rodolphe@ap-hm.com;de Banville;Theodore;Creation d'un applicatif de production sous Excel/Access.;2012-2013;08/04/2013;14/06/2013;ID
AP-HP;de Ram;Pierre;pierre@ap-hp.com;de Candolle;Alphonse;Developpement et maintenance d'un site web (Javascript, PHP,Ajax,Css, HTML );2012-2013;08/04/2013;14/06/2013;PF
APPRI;Dareste;Pierre;pierre@appri.com;Barat;Emmanuel;Immersion DÈveloppement NTIC. ApprÈhender notre organisation et nos environnements de dÈveloppement liÈs ‡ notre socle technique multicanal;2012-2013;08/04/2013;14/06/2013;SFo
APRES;Rallier des Ourmes;Jean-Joseph;jean-joseph@apres.com;Pyrame de Candolle;Augustin;integration dans une equipe existantemise en place projet selon cahier des chargesinitialisation conception codage test expressions des besoins;2012-2013;08/04/2013;14/06/2013;OGa
APSAD;Dargent;Yan;yan@apsad.com;Barere de Vieuzac;Bertrand;Assurer la visibilite du site www.hynedi.com en première page de google;2012-2013;08/04/2013;14/06/2013;RG
ARHIF;Raimond;Julien;julien@arhif.com;Calepino;Ambroise;Developpement et integration d'un module complementaire dans un progiciel de gestion d'officine pharmaceutique;2012-2013;08/04/2013;14/06/2013;OGu
ATTAC;Rague;Paul;paul@attac.com;Cabanes;Augustin;Gestion de projet web - Sensibilisation aux impÈratifs techniques et marketing liÈs au dÈveloppement web;2012-2013;08/04/2013;14/06/2013;MH
IRES;Ferdinand Ramuz;Charles;charles@ires.com;d'Abbes de Cabrerolles;Guillaume;Apprendre ö mener un projet complet et developper une application;2012-2013;08/04/2013;14/06/2013;JPJ
ISBN;Demaison;Andre;andre@isbn.com;Celler;Ludovic;Apprehender les outils de modelisation d'un système d'information  et programmation en PHP/MySQL;2012-2013;08/04/2013;14/06/2013;CJ
ISDN;Demeny;Paul;paul@isdn.com;Chabaneau;Camille;Assistance du studio bordelais lors des projets de production de jeux, de leur demarrage jusqu'‡ leur livraison au client.;2012-2013;08/04/2013;14/06/2013;NJ
ISES;Demogeot;Jacques;jacques@ises.com;Challemel;Wilfrid;Integrer le service developpement au sein d'une equipe de techniciens web pour participer ö l'elaboration de sites internet;2012-2013;08/04/2013;14/06/2013;OL
ISSN;Demolder;Eugene;eugene@issn.com;Stewart Chamberlain;Houston;DÈcouverte et intÈgration dans une Èquipe de dÈveloppement AndroÔd, mais plus gÈnÈralement dans le fonctionnement d'une entreprise de gÈnie logiciel;2012-2013;08/04/2013;14/06/2013;SMa
ITAF;Rambaud;Alfred;alfred@itaf.com;Canonge;Frederic;Developpement de script d'analyses en temps reel des serveurs des groupes Infodis.;2012-2013;08/04/2013;14/06/2013;BM
ITEP;Ivanovitch Denikine;Anton;anton@itep.com;Abgrall;FranÁois;Adaptation des fonctionnalites d'une gestion commerciale Full Web GENERIX;2012-2013;08/04/2013;14/06/2013;SMi
IUFM;Renard;Georges;georges@iufm.com;Abu Qurrah;Theodore;Application de gestion en environnement Web;2012-2013;08/04/2013;14/06/2013;AP
JORF;Denis;Ferdinand;ferdinand@jorf.com;Acremant;Germaine;Developpement d'une solution .NET(C#) permettant l'inscription de demandes de rendez-vous dans le logiciel Outlook;2012-2013;08/04/2013;14/06/2013;PR
LEST;Radiguet;Maurice;maurice@lest.com;Barth;Heinrich;Analyse et reecriture du Module alimentaire sur 5 semaines du logiciel MERCURIALE.;2012-2013;08/04/2013;14/06/2013;KR
LPSP;Rameau;Jean-Philippe;jean-philippe@lpsp.com;Cavaignac;Godefroy;Refonte et mise ö niveau d'un editeur de scripts en delphi dans le cadre d'un logiciel Windows (Cynobuilder).;2012-2013;08/04/2013;14/06/2013;FR
MAEC;Raffalovich;Arthur;arthur@maec.com;Baudry;Frederic;Finalisation d'un generateur de requêtes graphiques;2012-2013;08/04/2013;14/06/2013;ES
MFPF;Raffaelli;Jean-FranÁois;jean-franÁois@mfpf.com;Bax;Frederic;DÈveloppement d'un synoptique de rÈception des quais de vendanges pour des caves coopÈratives vinicoles.;2012-2013;08/04/2013;14/06/2013;CU
MIAM;Barthelot de Rambuteau;Claude-Philibert;claude-philibert@miam.com;Giacomo Casanova;Giovanni;ImplÈmenter des outills de saisie de terrain (smartphones) liÈs aux maladies des plantes et dÈvelopper des outils web de cartographie;2012-2013;08/04/2013;14/06/2013;EW
MOUS;Rague;Kate;kate@mous.com;de Beauchamp;Alphonse;Implication forte du stagiaire dans la realisation d'un projet informatique.;2012-2013;08/04/2013;14/06/2013;MBa
MSAP;Damad;Marianne;marianne@msap.com;Alfieri;Vittorio;Etudes et developpement d'une application.Fournir un etat des lieux, Structures des projets des nouvelles fonctionnalites, Developper.;2012-2013;08/04/2013;14/06/2013;MBi
MSCM;Denise;Louis;louis@mscm.com;Allais;Alphonse;Concevoir une application web compatible iPhone pour la saisie d'informations sur le terrain dans le cadre de l'enrichissement d'un modèle biologique.;2012-2013;08/04/2013;14/06/2013;RB
MSPS;Pierre Dandelin;Germinal;germinal@msps.com;Saccas;Ammonios;DÈveloppement d'une application informatique permettant la saisie de donnÈes hydromorphologiques et floristiques.;2012-2013;08/04/2013;14/06/2013;BC
MSTP;Danhauser;Adolphe;adolphe@mstp.com;Anderson;Sherwood;Apporter une amelioration au site Intranet du laboratoire;2012-2013;08/04/2013;14/06/2013;AC
MT2A;D'Annunzio;Gabriele;gabriele@mt2a.com;Andrieux;FranÁois;Finalisation de la mise en ligne du site internet et la messagerie associee.Developpements en MySql et Php.;2012-2013;08/04/2013;14/06/2013;LC
NABM;Daoust;Julien;julien@nabm.com;Arago;FranÁois;Developper une base de donnees ACCESS et la migrer vers un serveur SQL;2012-2013;08/04/2013;14/06/2013;SD
NCAM;Rageot;Gaston;gaston@ncam.com;Achille Bazaine;FranÁois;savoir concevoir et realiser une application informatique;2012-2013;08/04/2013;14/06/2013;ID
NEAD;Ramond de Carbonnieres;Louis;louis@nead.com;Chaboseau;Augustin;MaÓtriser PrestaShop, Wordpress, Drupal ainsi que l'intÈgration HTML/CSS et le dÈveloppement de module (PHP/ MySQL) sur ces CMS.;2012-2013;08/04/2013;14/06/2013;PF
NGAP;Rabier;Benjamin;benjamin@ngap.com;Balabanova;Angelica;DÈveloppement et intÈgration de sites internet.;2012-2013;08/04/2013;14/06/2013;SFo
NICE;Darcy;Jean;jean@nice.com;Bachelet;Theodore;Placer le stagiaire au coeur du processus de creation d'une application en ligne (reflexion, analyse, developpement, test);2012-2013;08/04/2013;14/06/2013;OGa
NIPP;Racine;Louis;louis@nipp.com;Barriere;Theodore;conception d'un logiciel de saisie et d'analyse des contrªles qualite effectues par nos contrªleurs qualite;2012-2013;08/04/2013;14/06/2013;RG
NPAD;de Raimes;Gaston;gaston@npad.com;de Calonne;Alphonse;Site internet pour la societe XBOAT en php css et html;2012-2013;08/04/2013;14/06/2013;OGu
NRBC;Rameau;Jean;jean@nrbc.com;de Castellane;Boniface;Mise en place d'un parc de machines virtuelles pour tester un logiciel;2012-2013;08/04/2013;14/06/2013;MH
OMIT;Ramsay;William;william@omit.com;Challamel;Augustin;Acquerir l'autonomie necessaire ‡ la realisation d'un site internet conforme aux exigences de l'entreprise;2012-2013;08/04/2013;14/06/2013;JPJ
PHRC;Raffles;Thomas;thomas@phrc.com;Bayrou;FranÁois;RÈalisation d'une application tactile de gestion du parc de matÈriel de l'Èquipe MÈdias en langage HTML5 et CSS3;2012-2013;08/04/2013;14/06/2013;CJ
PMSI;Delzant;Alidor;alidor@pmsi.com;Cavendish;William;IntÈgrer une fonction RNVP dans un logiciel d'analyse d'adresses pour dÈterminer la plus-value apportÈe dans la gestion des adresses;2012-2013;08/04/2013;14/06/2013;NJ
PNIR;Delzons;Louis;louis@pnir.com;Cazotte;Jacques;Developpement d'une application informatique avec Windev;2012-2013;08/04/2013;14/06/2013;OL
PNNS;de Remondange;Charles;charles@pnns.com;Cerfberr;Anatole;Developpement applicatif, integration, mise en production, Elaboration cahier des charges.;2012-2013;08/04/2013;14/06/2013;SMa
PNSE;Demmin;Auguste;auguste@pnse.com;Chalandon;Georges;Conception et developpement d'un outil informatique d'aide au pilotage et ‡ la gestion;2012-2013;08/04/2013;14/06/2013;BM
PNSM;Radau;Karine;karine@pnsm.com;Barrillot;FranÁois;Developpement d'une application web specialisee dans la gestion de publicites (Ad Server).;2012-2013;08/04/2013;14/06/2013;SMi
PNUD;Denis;Ernest;ernest@pnud.com;franÁaise;Academie;Toutes les Ètapes de la crÈation ‡ la maintenance d'un site Internet;2012-2013;08/04/2019;14/06/2013;AP
POSU;Denis;Maurice;maurice@posu.com;Adam;Juliette;Outil de pilotage et reporting operationnel.;2012-2013;08/04/2013;14/06/2013;PR
PPSM;Radcliffe;Ann;ann@ppsm.com;Barruel;Augustin;Formation sur l'outil de virtualisation VMWARE.;2012-2013;08/04/2013;14/06/2013;KR
PRSP;Radiguet;Myriam;myriam@prsp.com;de Bassompierre;FranÁois;L'entreprise demande de reecrire un logiciel de gestion car le langage utilise est devenu obsolète.;2012-2013;08/04/2013;14/06/2013;FR
AASQA;de RanÁonnet;Aimar;aimar@aasqa.com;de Clazomenes;Anaxagore;DÈveloppement d'un plugin RCP Java pour la gestion de donnÈes de traduction;2013-2014;07/04/2014;13/06/2014;ES
ACCRE;Redon;Odilon;odilon@accre.com;Ballanche;Pierre-Simon;Decouvrir les logiciels de gestion de scenarios et de Testing utilises cote RetD et etudier leur mise en place ö la DSI;2013-2014;07/04/2014;13/06/2014;CU
ACEPP;Rank;Otto;otto@acepp.com;Alexis;Guillaume;"Realisation d'un Datamart visant ö assurer le monitoring des interfaces ""Listes des prix"" entre l'application maÓtre et les applications filles.";2013-2014;07/04/2014;13/06/2014;EW
ACORS;Regnier;Adolphe;adolphe@acors.com;Baigneres;Jean-Baptiste;Mise en oeuvre d'un dispositif de traitement de l'information juridique en ligne.;2013-2014;07/04/2014;13/06/2014;RX
AFGSU;Thomas de Reiffenberg;Frederic-Auguste-Ferdinand;frederic-auguste-ferdinand@afgsu.com;Casgrain;Henri-Raymond;Creation d'un site de e-commerce sous Magento, liee ‡ la solution de gestion (erp) Open-ERP.;2013-2014;07/04/2014;13/06/2014;MBi
AFMHA;Regnaud;Paul;paul@afmha.com;Amar Du Rivier;Jean-Augustin;Le stage sera centrÈ sur le projet de refonte des services INTRANET/EXTRANET de l'entreprise.;2013-2014;07/04/2014;13/06/2014;RB
AFNOR;Reigner;Roger;roger@afnor.com;Castagnary;Jules-Antoine;Realisation d'un site web de type annuaire multimedia;2013-2014;07/04/2014;13/06/2014;BC
AFPPE;Reinach;Salomon;salomon@afppe.com;de Bausset;Louis-FranÁois;Installation d'un reseau informatique et creation de sites Web;2013-2014;07/04/2014;13/06/2014;AC
AMDEC;Demay;Germain;germain@amdec.com;Cazals;Frederic-Auguste;Creation de Formulaires (internet) et gestion de bases de donnees;2013-2014;07/04/2014;13/06/2014;LC
AMELI;Denis;Odette;odette@ameli.com;da Ponte;Lorenzo;Acquerir des competences sur les principaux outils du marche en terme de recette applicative et sur la methodologie de recette.;2013-2014;07/04/2014;13/06/2014;SD
AMESU;Renard;Paul;paul@amesu.com;Dabit;Eugene;Participation conception des evolutions et test Integration aux reunions client. Realisation programme et test Participation livraison;2013-2014;07/04/2014;13/06/2014;ID
AMEXA;Renardy;Christine;christine@amexa.com;Daguerre;Louis;Developpement d'application J2EE/BPM;2013-2014;07/04/2014;13/06/2014;PF
AMUHF;Ratisbonne;Theodore;theodore@amuhf.com;de BaÔf;Guillaume;Evolution d'un Systeme d'information sous Lotus Note (Oracle,windows,lotus domino...);2013-2014;07/04/2014;13/06/2014;SFo
AMVBF;Radiguet;Raymond;raymond@amvbf.com;Adam;FranÁois-etienne;Assistant qualite sur le progiciel Grand Angle;2013-2014;07/04/2014;13/06/2014;OGa
ANACT;Ravel;Maurice;maurice@anact.com;Barrett Browning;Elizabeth;Assistance ‡ la recette utilisateur et prise en charge d'anomalie dans le cadre de la maintenance applicative.;2013-2014;07/04/2014;13/06/2014;RG
ANAEM;Ravelet;Armand;armand@anaem.com;Barthez de Marmorieres;Guillaume;Participation ‡ une TMA en JEE;2013-2014;07/04/2014;13/06/2014;OGu
ANAES;Raviart;Georges;georges@anaes.com;Baudement;Theophile;Prendre en charge des missions de dÈveloppement dans un centre de service dÈdiÈ au client et chargÈ de rÈaliser des projets pour une Banque.;2013-2014;07/04/2014;13/06/2014;MH
ANDAC;Raynaud;Ernest;ernest@andac.com;Abeille;Louis-Paul;Participation ‡ la conception des Èvolutions et des tests, rÈalisation des programmes et tests, participation ‡ la livraison des Èvolutions;2013-2014;07/04/2014;13/06/2014;JPJ
ANDAR;Read;Louise;louise@andar.com;Apponyi;Marguerite;Participation a l'Èvolution d'un systËme d'information dans le domaine bancaire;2013-2014;07/04/2014;13/06/2014;CJ
ANDEM;Reboul;Henri;henri@andem.com;de Cyrene;Callimaque;ModÈlisation de processus mÈtier (BPM) et dÈveloppement d'applications de gestion de contenu au coeur de projets dans le domaine bancaire.;2013-2014;07/04/2014;13/06/2014;NJ
ANDRA;von Ranke;Leopold;leopold@andra.com;d'Altouvitis;Marseille;Participation aux Èvolutions d'un systËme d'information;2013-2014;07/04/2014;13/06/2014;OL
ANESM;Rechetnikov;Teodor;teodor@anesm.com;Ch.;Constantin;Le but est de decouvrir le langage Cobol, l'environnement IBM MVS, le système de gestion de base de donnees DB2, integrer une equipe de TMA.;2013-2014;07/04/2014;13/06/2014;SMa
ANLCI;Reclus;elisee;elisee@anlci.com;Barthez;Paul-Joseph;"Realisation d'une integration de developpements specifiques au sein du portail collaboratif du CSG - Modules attendus : ""Gestion des competences"", ""Reporting production"". Integration ‡ une equipe projet";2013-2014;07/04/2014;13/06/2014;BM
ANLLF;Regnault;Felix;felix@anllf.com;Amelin;Joseph-Eugene;Participation ö la qualification d'un SI;2013-2014;07/04/2014;13/06/2014;SMi
ANPAA;Reeve;Clara;clara@anpaa.com;Ronaldo;Cristiano;Le stage a pour but d'apprehender le mode de fonctionnement d'un projet d'envergure;2013-2014;07/04/2014;13/06/2014;AP
ANPDE;Reggio;Albert;albert@anpde.com;Beauce;Jean-Adolphe;Apprehender le metier d'ingenieur decisionnel ds ttes les phases du projet de maintenance et de mise en oeuvre dusyst d'information decisionnel.;2013-2014;07/04/2014;13/06/2014;PR
ANSES;Regis;Pierre-Sylvain;pierre-sylvain@anses.com;Alibert;FranÁois-Paul;participation ö l'evolution d'un système informatique.;2013-2014;07/04/2014;13/06/2014;KR
APSEM;Regnier-Destourbet;Hippolyte-FranÁois;hippolyte-franÁois@apsem.com;Barbier;Louis-Nicolas;Participation ‡ l'evolution d'un SI (secteur bancaire);2013-2014;07/04/2014;13/06/2014;FR
ARACT;Regnault;Amable;amable@aract.com;Angers;FranÁois-Real;Participation ö l'evolution d'un SI.  Environnement technique : IBM, Pacbase, Cobol, DB2;2013-2014;07/04/2014;13/06/2014;ES
ARAPI;Reinach;Theodore;theodore@arapi.com;de Baye;Marie-Beatrice;Mainframe - Centre de services multi-technologiquePacbase, Powerbuilder;2013-2014;07/04/2014;13/06/2014;CU
ASEPT;Reid;Thomas;thomas@asept.com;Bayard;Jean-FranÁois;Participer ‡ l'evolution d'un système d'information;2013-2014;07/04/2014;13/06/2014;EW
AVIAM;Renaudin;Paul;paul@aviam.com;Dales;Jean-Baptiste;Participation ‡ l'evolution d'un SI (secteur bancaire);2013-2014;07/04/2014;13/06/2014;MBa
INCO;Randau;Robert;robert@inco.com;d'Aphrodise;Alexandre;NTI - Participation ‡ un projet de tierce maintenance applicative dans le domaine de l'energie - Java, Servlets, EJB, Eclipse, Oracle;2013-2014;07/04/2014;13/06/2014;MBi
INEP;Rapin;Nicolas;nicolas@inep.com;Babou;Hippolyte;Participation ‡ un projet de tierce maintenance applicative dans le domaine bancaire.;2013-2014;07/04/2014;13/06/2014;RB
ISBN;Demaison;Andre;andre@isbn.com;Ancelot;Jacques-FranÁois;Participation ‡ un projet de tierce maintenance applicative dans le domaine de la distribution de l'eau.;2013-2014;07/04/2014;13/06/2014;BC
ISDN;Abel-Remusat;Jean-Pierre;jean-pierre@isdn.com;Adelon;Nicolas-Philibert;Participation ‡ un projet de TMA (Tierce maintenance applicative) dans le domaine de l'energie.;2013-2014;07/04/2014;13/06/2014;AC
ISES;Demogeot;Jacques;jacques@ises.com;Baudrimont;Alexandre-edouard;Participer ‡ un projet de developpement dans le domaine bancaire;2013-2014;07/04/2014;13/06/2014;LC
ISSN;Demolder;Eugene;eugene@issn.com;de Bawr;Alexandrine-Sophie;Les objectifs de ce stage sont la mise en place d'un environnement de developpement webMethods puis Tibco si le planning le permet.;2013-2014;07/04/2014;13/06/2014;SD
ITEP;Renan;Ernest;ernest@itep.com;Caix de Saint-Amour;Charles-Lavauzelle;Participation ‡ la mise en place d'evolution de l'application Reinette permettant de gerer le referentiel comptable du groupe La Poste.;2013-2014;07/04/2014;13/06/2014;ID
IUFM;Renard;Georges;georges@iufm.com;Cabanis;Pierre-Jean-Georges;Developpement d'un ensemble de composants logiciels ‡ partir de specifications detaillees.Preparation et realisation de cas de tests unitaires.;2013-2014;07/04/2014;13/06/2014;PF
JORF;Renard;Georges;georges@jorf.com;Catteau-Calleville;Jean-Pierre-Guillaume;Participation ö la qualification d'un SI;2013-2014;07/04/2014;13/06/2014;SFo
LABM;de Beaujeu;Renaud;renaud@labm.com;Daire;Eugene;Intervention sur un projet de developpement;2013-2014;07/04/2014;13/06/2014;OGa
LATA;Joseph-Renaud;Jean;jean@lata.com;Dales;Alexis;Intervention sur un projet de developpement;2013-2014;07/04/2014;13/06/2014;RG
LEST;Radiguet;Maurice;maurice@lest.com;Celine;Louis-Ferdinand;Apprehender le metier d'analyste developpeur dans le cadre d'une Tierce Maintenance Applicative pour le compte d'un groupe Bancaire.;2013-2014;07/04/2014;13/06/2014;OGu
LFSS;Ravaisson;Felix;felix@lfss.com;Barbier;Hippolyte;Participation au developpement et ‡ la maintenance d'applications en technologie Microsoft (ACCESS, SQL SERVER, VB, .NET, WSS);2013-2014;07/04/2014;13/06/2014;MH
LHSS;Ravier;Louis;louis@lhss.com;Bautru;Guillaume;Mise en place d'un environnement de developpement webMethods puis Tibico si le planning le permet. Cet environnement devra prendre en compte l'installation de l'environnement dans une machine virtuelle reutilisable, la redaction d'une documentation associee ‡ cette installation, l'outillage pour automatiser les tests d'integration, le packaging, les mises en production$;2013-2014;07/04/2014;13/06/2014;JPJ
LIEN;Ravrio;Andre-Antoine;andre-antoine@lien.com;Castellion;Sebastien;Participation ‡ un projet de developpement dans le domaine bancaire.Integration au sein d'une equipe de travail.;2013-2014;07/04/2014;13/06/2014;CJ
LISP;Raynal;Guillaume-Thomas;guillaume-thomas@lisp.com;Celarie;Henriette;Optimisation d'une boite vocale pour serveur meteorologique;2013-2014;07/04/2014;13/06/2014;NJ
LNCC;Raynal;Hippolyte;hippolyte@lncc.com;Cellini;Benvenuto;Concevoir une application pour la reprographie, service de la Mairie de Bordeaux;2013-2014;07/04/2014;13/06/2014;OL
LOLF;Raynouard;FranÁois-Just-Marie;franÁois-just-marie@lolf.com;Aneau;Barthelemy;Former l'etudiant aux nouvelles technologies de l'internet pour le developpement de RIA (langage ActionScript 3/MXML/CFML);2013-2014;07/04/2014;13/06/2014;SMa
LOOM;de Rayssac;Saint-Cyr;saint-cyr@loom.com;de Damas;Apollodore;Passage d'un outil de comptabilite analytique de Visual Basic en .GWT;2013-2014;07/04/2014;13/06/2014;BM
LPPS;Read;Henri-Charles;henri-charles@lpps.com;de Rhodes;Apollonios;Mise en place d'une plateforme internet permettant ‡ des utilisateurs de mettre en avant certaines offres.;2013-2014;07/04/2014;13/06/2014;SMi
MAAP;Reau;Louis;louis@maap.com;de Ceos;Bacchylide;Appliquer les savoir et savoir-faire acquis ‡ l'IUT et en dÈvelopper de nouveaux.;2013-2014;07/04/2014;13/06/2014;AP
MAIA;Reaume;Eugene;eugene@maia.com;Bacha;Constantin;Travail en equipe sous les ordres de chefs de projets sur des campagnes d'emailling et acquisition de methodes dans le developpement de sites.;2013-2014;07/04/2014;13/06/2014;PR
MAMA;Rebell;Hugues;hugues@mama.com;Balmont;Constantin;Analyse conception et realisation d'une application de gestion administrative;2013-2014;07/04/2014;13/06/2014;KR
MDPH;Rebiere;Alphonse;alphonse@mdph.com;de Bauclair;Paul-Louis;Creation d'un Intranet.;2012-2013;07/04/2014;13/06/2014;FR
MEAH;Rebelliau;Alfred;alfred@meah.com;Guez de Balzac;Jean-Louis;Developpement de widgets pour un des premiers groupe media d'Europe sur la technologie Yahoo go 3.;2013-2014;07/04/2014;13/06/2014;ES
MECS;Reboul;Jean;jean@mecs.com;Caro;Elme-Marie;Stage de fin d'Ètudes de DUT;2013-2014;07/04/2014;13/06/2014;CU
MEDD;Reboux;Paul;paul@medd.com;Cavafy;Constantin;Migration des etiquettes logistiques de l'outil CodeSoft sur l'outil Internet BarTender;2013-2014;07/04/2014;13/06/2014;EW
